date,doc_tone,baserate
2016-10-13,-0.5965665236051502,1.25
2016-11-11,-0.7061611374407583,1.25
2016-12-15,-0.7427385892116183,1.25
2017-01-13,-0.6506550218340611,1.25
2017-02-23,-0.648,1.25
2017-04-13,-0.615686274509804,1.25
2017-05-25,-0.6206896551724138,1.25
2017-07-13,-0.6335078534031413,1.25
2017-08-31,-0.5673076923076923,1.25
2017-10-19,-0.5829787234042553,1.25
2017-11-30,-0.6,1.5
2018-01-18,-0.5655913978494623,1.5
2018-02-27,-0.7285067873303167,1.5
2018-04-12,-0.6929460580912863,1.5
2018-05-24,-0.5741444866920152,1.5
2018-07-12,-0.5584415584415584,1.5
2018-08-31,-0.6014234875444839,1.5
2018-10-18,-0.6746031746031746,1.5
2018-11-30,-0.5895522388059702,1.75
2019-01-24,-0.616822429906542,1.75
2019-02-28,-0.5714285714285714,1.75
2019-04-18,-0.6796536796536796,1.75
2019-05-31,-0.54337899543379,1.75
2019-07-18,-0.757085020242915,1.5
2019-08-30,-0.7361702127659574,1.5
2019-10-16,-0.7297297297297297,1.25
2019-11-29,-0.7366255144032922,1.25
