pos_dic,Up,Down,total,Polarity Score,Polarity
대출/NNG;최저/NNG,18,4,22,2.9341357848100507,Hawkish
실물/NNG;경제/NNG;우려/NNG,16,3,19,3.477494263478579,Hawkish
트로이온스/NNG,47,21,68,1.4593056284240464,Hawkish
사별/NNG,37,17,54,1.4191244972283903,Hawkish
서학/NNG,169,77,246,1.4310792139477593,Hawkish
고급화/NNG,30,12,42,1.6300754360055836,Hawkish
판매/NNG;확대/NNG,73,11,84,4.327109339214823,Hawkish
글로벌경영/NNG,30,5,35,3.912181046413401,Hawkish
일감/NNG,79,12,91,4.29253198148137,Hawkish
엠파이어/NNG,21,7,28,1.9560905232067007,Hawkish
한국물/NNG,21,6,27,2.2821056104078177,Hawkish
수위/NNG,98,35,133,1.825684488326254,Hawkish
가까이/MAG,952,476,1428,1.3040603488044669,Hawkish
독특/NNG,22,8,30,1.7930829796061425,Hawkish
회국/NNG,17,1,18,11.08451296483797,Hawkish
경강선/NNG,20,2,22,6.520301744022335,Hawkish
와우/NNG,17,5,22,2.216902592967594,Hawkish
사각지대/NNG,67,13,80,3.3604632065345883,Hawkish
자율주행/NNG,115,45,160,1.6662993345834858,Hawkish
소모/NNG,21,8,29,1.7115792078058631,Hawkish
대출/NNG;증가/NNG;둔화/NNG,15,5,20,1.9560905232067003,Hawkish
이용료/NNG,134,66,200,1.323818838937868,Hawkish
추진계획/NNG,24,7,31,2.2355320265219434,Hawkish
기대/NNG;상승/NNG,38,13,51,1.9059343559449904,Hawkish
특근/NNG,22,3,25,4.7815546122830455,Hawkish
정류장/NNG,14,4,18,2.282105610407817,Hawkish
전부/NNG,75,20,95,2.4451131540083755,Hawkish
경영진단/NNG,14,3,17,3.042807480543756,Hawkish
상판/NNG,17,3,20,3.69483765494599,Hawkish
향했/VV,12,6,18,1.3040603488044669,Hawkish
발코니/NNG,24,11,35,1.4226112896048728,Hawkish
공동선언문/NNG,93,1,94,60.63880621940772,Hawkish
폭염/NNG,50,11,61,2.963773520010152,Hawkish
점차/MAG;완화/NNG,37,9,46,2.6805684947647377,Hawkish
치우/VV,13,6,19,1.4127320445381726,Hawkish
대답/NNG,24,7,31,2.2355320265219434,Hawkish
재무장관회의/NNG,128,55,183,1.517452042245198,Hawkish
총영사관/NNG,24,6,30,2.6081206976089337,Hawkish
신용/NNG;부실/NNG,22,1,23,14.344663836849138,Hawkish
금리/NNG;인하/NNG;가능성/NNG;배제/NNG,65,20,85,2.119098066807259,Hawkish
자생적/VAX,30,13,43,1.504685017851308,Hawkish
장도/NNG,17,6,23,1.847418827472995,Hawkish
시달렸/VV,15,3,18,3.260150872011167,Hawkish
특별시/NNG,22,6,28,2.3907773061415227,Hawkish
초보/NNG,22,8,30,1.7930829796061425,Hawkish
따라갈/VV,26,11,37,1.5411622304052792,Hawkish
외식업/NNG,107,17,124,4.10395462711994,Hawkish
상장종목/NNG,31,6,37,3.368822567744873,Hawkish
달리/MAG;금리/NNG;인하/NNG,12,6,18,1.3040603488044669,Hawkish
대출포트폴리오/NNG,17,5,22,2.216902592967594,Hawkish
pf/NNG,5569,2373,7942,1.530196393276881,Hawkish
끈적/NNG,58,27,85,1.400657411678872,Hawkish
지연/NNG,1944,944,2888,1.3427401049130745,Hawkish
긴축/NNG;선호/NNG,24,9,33,1.738747131739289,Hawkish
안주/NNG,28,10,38,1.8256844883262535,Hawkish
외무/NNG,26,6,32,2.825464089076345,Hawkish
투쟁/NNG,19,6,25,2.0647622189404062,Hawkish
패배/NNG,43,6,49,4.67288291654934,Hawkish
악영향/NNG;줄/VV,15,4,19,2.4451131540083755,Hawkish
안갯속/NNG,47,11,58,2.785947108809543,Hawkish
싸늘/NNG,17,1,18,11.08451296483797,Hawkish
최상/NNG,22,3,25,4.7815546122830455,Hawkish
외부자금/NNG,62,8,70,5.05323385161731,Hawkish
섹터etf/NNG,55,1,56,35.86165959212285,Hawkish
굴착기/NNG,16,5,21,2.0864965580871475,Hawkish
묶였/VV,16,6,22,1.7387471317392895,Hawkish
꿈꾸/VV,36,18,54,1.3040603488044669,Hawkish
실손/NNG,111,9,120,8.041705484294212,Hawkish
전문업체/NNG,36,8,44,2.9341357848100507,Hawkish
대출보증/NNG,62,17,79,2.377992400761087,Hawkish
부동산/NNG;활성화/NNG,12,5,17,1.5648724185653602,Hawkish
추락/NNG,187,45,232,2.709547613627059,Hawkish
할부/NNG,285,36,321,5.161905547351015,Hawkish
수상자/NNG,27,12,39,1.467067892405025,Hawkish
촘촘/NNG,35,8,43,2.852632013009772,Hawkish
야권/NNG,96,14,110,4.471064053043887,Hawkish
만들/VV,1326,624,1950,1.3855641206047462,Hawkish
대출/NNG;일시적/VAX,16,1,17,10.432482790435737,Hawkish
동력인/NNG,23,2,25,7.498347005625686,Hawkish
트림/NNG,15,2,17,4.890226308016751,Hawkish
유예/NNG;금리/NNG;인하/NNG,34,1,35,22.16902592967594,Hawkish
오래/NNG,14,7,21,1.3040603488044669,Hawkish
예상/NNG;강하/VA,70,19,89,2.402216432008229,Hawkish
강압/NNG,28,1,29,18.256844883262534,Hawkish
갈수록/MAG,427,201,628,1.385158629202755,Hawkish
거래소/NNG,418,141,559,1.9329688858165504,Hawkish
데이비드/NNG,39,10,49,2.542917680168711,Hawkish
전국/NNG,2362,744,3106,2.070020526798489,Hawkish
경기/NNG;전망/NNG;긍정적/VAX,16,5,21,2.0864965580871475,Hawkish
장기물/NNG;순매수/NNG;강화/NNG,26,2,28,8.476392267229036,Hawkish
윤현/NNG,18,1,19,11.736543139240204,Hawkish
수호천사/NNG,22,2,24,7.172331918424569,Hawkish
셀프/NNG,23,2,25,7.498347005625686,Hawkish
낙폭과대/NNG,24,4,28,3.912181046413401,Hawkish
충당금전입액/NNG,51,15,66,2.2169025929675934,Hawkish
메가트렌드/NNG,24,4,28,3.912181046413401,Hawkish
수출/NNG;성장/NNG,34,16,50,1.3855641206047462,Hawkish
