pos_dic,Up,Down,total,Polarity Score,Polarity
공사장/NNG,16,2,18,5.216241395217868,Hawkish
진위/NNG,17,3,20,3.69483765494599,Hawkish
불변/NNG,43,11,54,2.548845227208731,Hawkish
선물환/NNG,79,39,118,1.320779071225037,Hawkish
베테랑/NNG,13,6,19,1.4127320445381726,Hawkish
지원금/NNG,477,78,555,3.9874152973059664,Hawkish
예상/NNG;견조/NNG,13,5,18,1.6952784534458072,Hawkish
성장/NNG;안정/NNG,31,7,38,2.887562200924177,Hawkish
단지/MAG,875,299,1174,1.9081150588694125,Hawkish
따지/VV,76,38,114,1.304060348804467,Hawkish
편향/NNG,25,11,36,1.481886760005076,Hawkish
대북/NNG,51,19,70,1.7501862576059952,Hawkish
파생상품/NNG,155,61,216,1.6567979841368228,Hawkish
기상청/NNG,13,4,17,2.119098066807259,Hawkish
설명회/NNG,280,79,359,2.3109930231977898,Hawkish
쓴다고/VV,17,3,20,3.69483765494599,Hawkish
거둬/VV,26,4,30,4.238196133614518,Hawkish
근무/NNG,194,64,258,1.9764664661567704,Hawkish
봉쇄/NNG,111,40,151,1.809383733966198,Hawkish
상생/NNG,755,170,925,2.895781068668743,Hawkish
매머드/NNG,15,5,20,1.9560905232067003,Hawkish
자본비율/NNG;하락/NNG,19,7,26,1.7697961876632051,Hawkish
설수/NNG,21,8,29,1.7115792078058631,Hawkish
물색/NNG,23,5,28,2.999338802250274,Hawkish
전세가격/NNG;높/VA,14,3,17,3.042807480543756,Hawkish
신축/NNG,567,205,772,1.8034200433466647,Hawkish
밀접/NNG,128,55,183,1.517452042245198,Hawkish
총선거/NNG,26,3,29,5.65092817815269,Hawkish
개량/NNG,21,3,24,4.564211220815635,Hawkish
전시/NNG,68,34,102,1.304060348804467,Hawkish
재무관/NNG,29,8,37,2.363609382208097,Hawkish
인플레이션/NNG;압력/NNG;완화/NNG,19,8,27,1.548571664205305,Hawkish
사그라지/VV,18,5,23,2.3473086278480406,Hawkish
밑그림/NNG,15,5,20,1.9560905232067003,Hawkish
출고/NNG,31,15,46,1.3475290270979492,Hawkish
외환시장/NNG;원달러/NNG;내리/VV,20,3,23,4.346867829348224,Hawkish
주원/NNG,123,20,143,4.009985572573736,Hawkish
자본력/NNG,61,9,70,4.419315626504027,Hawkish
대거/MAG,364,177,541,1.3408982117650452,Hawkish
주택담보대출/NNG;금리/NNG;하향/NNG,15,3,18,3.260150872011167,Hawkish
주식회사/NNG,31,13,44,1.5548411851130184,Hawkish
비유/NNG,53,15,68,2.303839949554558,Hawkish
공급/NNG;늘/VV,48,18,66,1.738747131739289,Hawkish
꾸준/NNG,288,144,432,1.3040603488044669,Hawkish
건의/NNG,146,44,190,2.1635546696074117,Hawkish
개당/NNG,18,6,24,1.9560905232067003,Hawkish
지속가능경영/NNG,17,8,25,1.3855641206047462,Hawkish
높/VA;인하/NNG,17,7,24,1.58350185211971,Hawkish
총채/NNG,17,8,25,1.3855641206047462,Hawkish
기대/NNG;꺾/VV,21,9,30,1.5214037402718783,Hawkish
경영/NNG;환경/NNG;불확실성/NNG,22,1,23,14.344663836849138,Hawkish
가격/NNG;인상/NNG,100,36,136,1.811194928895093,Hawkish
운영체제/NNG,24,6,30,2.6081206976089337,Hawkish
서든스톱/NNG,17,2,19,5.542256482418985,Hawkish
상환능력/NNG;취약/NNG,15,3,18,3.260150872011167,Hawkish
경제/NNG;호황/NNG,21,10,31,1.3692633662446905,Hawkish
실기/NNG,14,5,19,1.8256844883262535,Hawkish
운반/NNG,18,7,25,1.6766490198914574,Hawkish
리드/NNG,44,13,57,2.206871359515252,Hawkish
마스터/NNG,48,2,50,15.648724185653604,Hawkish
높/VA;고금리/NNG,22,11,33,1.3040603488044669,Hawkish
제각각/NNG,23,4,27,3.749173502812843,Hawkish
한매/NNG,56,5,61,7.302737953305015,Hawkish
수출/NNG;긍정적/VAX,14,6,20,1.521403740271878,Hawkish
한국자금중개/NNG,21,9,30,1.5214037402718783,Hawkish
집값/NNG;불안/NNG,16,2,18,5.216241395217868,Hawkish
순이자마진/NNG;상승/NNG,25,1,26,16.300754360055837,Hawkish
다각화/NNG,176,72,248,1.5938515374276818,Hawkish
저감/NNG,40,9,49,2.8979118862321487,Hawkish
잘못/NNG,26,12,38,1.4127320445381726,Hawkish
가공품/NNG,19,1,20,12.388573313642436,Hawkish
종신보험/NNG,79,26,105,1.981168606837556,Hawkish
부쳐/VV,12,5,17,1.5648724185653602,Hawkish
계약금/NNG,234,91,325,1.6766490198914576,Hawkish
사용자/NNG,143,67,210,1.3916464916346176,Hawkish
분담금/NNG,194,91,285,1.3900423498245418,Hawkish
기울였/VV,29,9,38,2.100986117518308,Hawkish
다가섰/VV,37,17,54,1.4191244972283903,Hawkish
소비자/NNG;물가/NNG;상승/NNG,120,25,145,3.1297448371307204,Hawkish
일선/NNG,41,18,59,1.485179841693976,Hawkish
갱신청구권/NNG,104,20,124,3.3905569068916144,Hawkish
승수/NNG,82,7,89,7.638067757283306,Hawkish
은행주의/NNG,16,3,19,3.477494263478579,Hawkish
감정가격/NNG,20,1,21,13.04060348804467,Hawkish
부동산/NNG,7627,3602,11229,1.380631354848927,Hawkish
기준가격/NNG;내리/VV,18,6,24,1.9560905232067003,Hawkish
웃돈/NNG,322,76,398,2.762548896809464,Hawkish
따른다/VV,16,6,22,1.7387471317392895,Hawkish
일요/NNG,35,6,41,3.803509350679696,Hawkish
퀄컴/NNG,67,26,93,1.680231603267294,Hawkish
부동산/NNG;불황/NNG,12,6,18,1.3040603488044669,Hawkish
지급금/NNG,47,1,48,30.645418196904977,Hawkish
와치/NNG,17,5,22,2.216902592967594,Hawkish
원화/NNG;절하/NNG,21,10,31,1.3692633662446905,Hawkish
재환/NNG,22,11,33,1.3040603488044669,Hawkish
인적공제/NNG,13,4,17,2.119098066807259,Hawkish
물가/NNG;환율/NNG;안정/NNG,23,4,27,3.749173502812843,Hawkish
팁스/NNG,16,4,20,2.608120697608934,Hawkish
밀어붙이/VV,16,2,18,5.216241395217868,Hawkish
즐거움/NNG,21,4,25,3.4231584156117263,Hawkish
유가/NNG;오르/VV,53,25,78,1.3823039697327348,Hawkish
입주민/NNG,125,43,168,1.895436553494865,Hawkish
소유권이전등기/NNG,24,2,26,7.824362092826802,Hawkish
세제/NNG,509,246,755,1.3491193445964913,Hawkish
정해지/VV,140,67,207,1.3624511106912345,Hawkish
신속히/MAG,147,71,218,1.3499779667201173,Hawkish
bw/NNG,41,19,60,1.4070124816048195,Hawkish
예부/NNG,18,1,19,11.736543139240204,Hawkish
환경규제/NNG,21,5,26,2.738526732489381,Hawkish
페달/NNG,12,5,17,1.5648724185653602,Hawkish
호수/NNG,53,16,69,2.1598499527073987,Hawkish
지지력/NNG,38,12,50,2.0647622189404062,Hawkish
부동산정보/NNG,98,47,145,1.3595522785408274,Hawkish
줄인다/VV,16,5,21,2.0864965580871475,Hawkish
에스티/NNG,17,7,24,1.58350185211971,Hawkish
피해/NNG,984,279,1263,2.2996333032680925,Hawkish
방어주/NNG,17,3,20,3.69483765494599,Hawkish
안보리/NNG,42,2,44,13.692633662446903,Hawkish
작물/NNG,41,3,44,8.911079050163858,Hawkish
미일/NNG,164,33,197,3.2403923818777662,Hawkish
나란히/MAG,140,47,187,1.9422175407726103,Hawkish
물가/NNG;상방/NNG;압력/NNG,58,14,72,2.701267865380682,Hawkish
트랙/NNG,44,9,53,3.187703074855364,Hawkish
탐욕/NNG,76,35,111,1.4158369501305643,Hawkish
성명문/NNG,29,7,36,2.701267865380682,Hawkish
계류/NNG,24,7,31,2.2355320265219434,Hawkish
공동출자/NNG,18,2,20,5.868271569620101,Hawkish
원양/NNG,18,1,19,11.736543139240204,Hawkish
재건축조합/NNG,44,5,49,5.737865534739655,Hawkish
원자재/NNG;가격/NNG;인상/NNG,39,11,50,2.3117433456079186,Hawkish
비용률/NNG,27,1,28,17.604814708860303,Hawkish
스승/NNG,16,3,19,3.477494263478579,Hawkish
위탁/NNG,132,60,192,1.4344663836849136,Hawkish
주거비/NNG,266,131,397,1.3239696671068253,Hawkish
뉴타운/NNG,45,17,62,1.7259622263588537,Hawkish
보장성보험/NNG,78,15,93,3.390556906891614,Hawkish
eb/NNG,71,35,106,1.3226897823588166,Hawkish
공주/NNG,26,5,31,3.3905569068916144,Hawkish
고용/NNG;지표/NNG;금리/NNG;인하/NNG,15,5,20,1.9560905232067003,Hawkish
결연/NNG,175,1,176,114.10528052039086,Hawkish
비용/NNG;오르/VV,26,13,39,1.304060348804467,Hawkish
자금/NNG;확보/NNG,74,25,99,1.9300093162306111,Hawkish
빅맥지수/NNG,14,4,18,2.282105610407817,Hawkish
기본계획/NNG,30,10,40,1.9560905232067003,Hawkish
프로그램/NNG;금리/NNG;인하/NNG,22,5,27,2.8689327673698277,Hawkish
실적/NNG;상승/NNG,77,18,95,2.789240190498443,Hawkish
ecb/NNG;금리/NNG;낮/VV,17,3,20,3.69483765494599,Hawkish
수출/NNG;회복/NNG,170,58,228,1.911122924972064,Hawkish
주거환경/NNG,82,22,104,2.430294286408325,Hawkish
조각/NNG,49,5,54,6.389895709141888,Hawkish
실적/NNG;개선/NNG,291,132,423,1.4374301572049235,Hawkish
시장조사기관/NNG,22,11,33,1.3040603488044669,Hawkish
대출/NNG;문턱/NNG;높/VV,52,14,66,2.4218263620654388,Hawkish
공습/NNG,259,98,357,1.7232226037773315,Hawkish
라니냐/NNG,14,6,20,1.521403740271878,Hawkish
다지기/NNG,29,10,39,1.8908875057664771,Hawkish
잇단/VV,47,17,64,1.802671658641469,Hawkish
젊은이/NNG,27,12,39,1.467067892405025,Hawkish
조직/NNG,279,114,393,1.595758058405466,Hawkish
담당/NNG,502,176,678,1.8597678838063705,Hawkish
적립액/NNG,25,8,33,2.03759429500698,Hawkish
국채/NNG;금리/NNG;뛰/VV,16,6,22,1.7387471317392895,Hawkish
역전세난/NNG,17,4,21,2.7711282412094924,Hawkish
시리즈/NNG,191,47,238,2.649739644911204,Hawkish
택했/VV,30,11,41,1.7782641120060911,Hawkish
할인/NNG,535,259,794,1.3468576961590537,Hawkish
가수급/NNG,22,8,30,1.7930829796061425,Hawkish
대기자금/NNG;늘/VV,13,4,17,2.119098066807259,Hawkish
걸렸/VV,90,34,124,1.7259622263588537,Hawkish
비대/VV,455,177,632,1.6761227647063066,Hawkish
목표비중/NNG,20,8,28,1.6300754360055838,Hawkish
교외/NNG,22,2,24,7.172331918424569,Hawkish
경제/NNG;성장률/NNG;오르/VV,20,5,25,2.608120697608934,Hawkish
기일/NNG,30,8,38,2.4451131540083755,Hawkish
기대/NNG;증가/NNG,14,4,18,2.282105610407817,Hawkish
기초지수/NNG,76,18,94,2.7530162919205416,Hawkish
일시불/NNG,22,3,25,4.7815546122830455,Hawkish
강하/VA;상승/NNG,49,23,72,1.3891077628569324,Hawkish
한다는/VV,70,21,91,2.173433914674112,Hawkish
진도/NNG,243,60,303,2.6407222063290456,Hawkish
부사관/NNG,29,4,33,4.727218764416193,Hawkish
생산/NNG;둔화/NNG,22,6,28,2.3907773061415227,Hawkish
감면/NNG,322,121,443,1.735154678987762,Hawkish
가자지구/NNG,59,22,81,1.7486263768059898,Hawkish
분양/NNG,2278,733,3011,2.0263638980740626,Hawkish
투자금융/NNG,58,11,69,3.4379772832117768,Hawkish
금과은/NNG,26,6,32,2.825464089076345,Hawkish
정책위/NNG,13,4,17,2.119098066807259,Hawkish
전직/NNG,27,12,39,1.467067892405025,Hawkish
뚜껑/NNG,14,5,19,1.8256844883262535,Hawkish
드러난/VV,34,11,45,2.0153659936069035,Hawkish
경기/NNG;안/MAG;좋/VA,19,8,27,1.548571664205305,Hawkish
원천/NNG,72,22,94,2.133916934407309,Hawkish
정체국면/NNG,17,8,25,1.3855641206047462,Hawkish
야당/NNG,582,98,680,3.872260831654081,Hawkish
골고루/MAG,28,13,41,1.4043726833278876,Hawkish
국제가격/NNG,19,6,25,2.0647622189404062,Hawkish
천장/NNG,14,7,21,1.3040603488044669,Hawkish
서리/NNG,13,6,19,1.4127320445381726,Hawkish
국고여유자금/NNG,16,1,17,10.432482790435737,Hawkish
부속/NNG,25,8,33,2.03759429500698,Hawkish
경쟁자/NNG,28,14,42,1.3040603488044669,Hawkish
들어갔/VV,110,48,158,1.494235816338452,Hawkish
캐피털/NNG,158,70,228,1.4717252507936127,Hawkish
통화주의/NNG,28,3,31,6.085614961087512,Hawkish
영종/NNG,36,11,47,2.133916934407309,Hawkish
이익/NNG;늘/VV,35,8,43,2.852632013009772,Hawkish
적잖/VA,40,20,60,1.304060348804467,Hawkish
특판상품/NNG,41,16,57,1.6708273219057237,Hawkish
인포테인먼트/NNG,27,2,29,8.802407354430152,Hawkish
퇴직연금/NNG,316,91,407,2.264192693528635,Hawkish
물가/NNG;상승률/NNG;점차/MAG;둔화/NNG,20,1,21,13.04060348804467,Hawkish
금융시장/NNG;변동성/NNG;높/VA,24,4,28,3.912181046413401,Hawkish
수입/NNG;확대/NNG,24,9,33,1.738747131739289,Hawkish
부동산/NNG;pf/NNG;대출/NNG;부실/NNG,47,15,62,2.043027879793665,Hawkish
토요/NNG,21,2,23,6.846316831223453,Hawkish
증원/NNG,55,9,64,3.984628843569205,Hawkish
낙찰가율/NNG,400,50,450,5.2162413952178674,Hawkish
위험자산/NNG;선호/NNG;위축/NNG,17,8,25,1.3855641206047462,Hawkish
발돋움/NNG,15,3,18,3.260150872011167,Hawkish
예비/NNG,288,125,413,1.5022775218227458,Hawkish
전고점/NNG,271,94,365,1.879789119819205,Hawkish
버금가/VV,23,6,29,2.4994490018752287,Hawkish
곳곳/NNG,189,62,251,1.9876403703551957,Hawkish
시급/NNG,198,83,281,1.5554454762848462,Hawkish
쌓였/VV,19,9,28,1.3765081459602708,Hawkish
주택사업/NNG,274,61,335,2.928791275183803,Hawkish
배당기준일/NNG,13,5,18,1.6952784534458072,Hawkish
옥동/NNG,17,4,21,2.7711282412094924,Hawkish
가업상속/NNG,25,8,33,2.03759429500698,Hawkish
트렌드분석/NNG,24,1,25,15.648724185653604,Hawkish
잣대/NNG,41,13,54,2.056402857730121,Hawkish
지준/NNG,95,45,140,1.3765081459602706,Hawkish
동반자/NNG,15,4,19,2.4451131540083755,Hawkish
미뤄졌/VV,36,16,52,1.467067892405025,Hawkish
기업/NNG;대출/NNG;늘/VV,27,4,31,4.401203677215076,Hawkish
소비/NNG;부양/NNG,30,3,33,6.520301744022334,Hawkish
시공사/NNG,437,174,611,1.6375700357113565,Hawkish
전망/NNG;밝/VA;않/VX,24,10,34,1.5648724185653602,Hawkish
주주환원정책/NNG,147,19,166,5.044654507217281,Hawkish
채권/NNG;성공/NNG,17,3,20,3.69483765494599,Hawkish
흑자/NNG;확대/NNG,18,6,24,1.9560905232067003,Hawkish
급등락/NNG,42,20,62,1.3692633662446905,Hawkish
자산효과/NNG,16,7,23,1.4903546843479625,Hawkish
장외/NNG,177,64,241,1.803270951081177,Hawkish
판매/NNG;촉진/NNG,18,1,19,11.736543139240204,Hawkish
기대/NNG;높/VA;않/VX,12,5,17,1.5648724185653602,Hawkish
발발/NNG,61,24,85,1.6572433599390102,Hawkish
성장/NNG;한계/NNG,16,5,21,2.0864965580871475,Hawkish
버틸/VV,36,15,51,1.5648724185653602,Hawkish
충당금/NNG,767,184,951,2.7179736074267016,Hawkish
각자도생/NNG,28,10,38,1.8256844883262535,Hawkish
인플레이션/NNG;기대/NNG;높/VA,14,5,19,1.8256844883262535,Hawkish
남향/NNG,44,10,54,2.8689327673698277,Hawkish
우버/NNG,53,14,67,2.4683999459513126,Hawkish
일시적/VAX;부진/NNG,12,6,18,1.3040603488044669,Hawkish
포워딩/NNG,23,3,26,4.998898003750457,Hawkish
영업이익/NNG;성장/NNG,28,5,33,3.651368976652508,Hawkish
인하/NNG;지연/NNG,15,4,19,2.4451131540083755,Hawkish
구상/NNG,136,54,190,1.6421500688648842,Hawkish
각료/NNG,23,4,27,3.749173502812843,Hawkish
수요/NNG;압력/NNG,18,8,26,1.467067892405025,Hawkish
클리닉/NNG,33,3,36,7.172331918424568,Hawkish
동인/NNG,36,9,45,2.6081206976089337,Hawkish
물가/NNG;상방/NNG;위험/NNG,24,8,32,1.9560905232067003,Hawkish
펼쳐진/VV,14,4,18,2.282105610407817,Hawkish
높/VA;금리/NNG;부담/NNG,30,6,36,3.260150872011167,Hawkish
확전/NNG,365,137,502,1.7371606836263884,Hawkish
두려움/NNG,33,15,48,1.4344663836849136,Hawkish
매물/NNG,1028,453,1481,1.479662294228468,Hawkish
전망/NNG;하락/NNG,33,14,47,1.536928268233836,Hawkish
수로/NNG,13,4,17,2.119098066807259,Hawkish
예상/NNG;더디/VA,28,11,39,1.6597131712056852,Hawkish
리저브/NNG,32,2,34,10.432482790435737,Hawkish
물가/NNG;상승/NNG,264,117,381,1.4712475730101675,Hawkish
보통/NNG,312,148,460,1.3745500973884923,Hawkish
적자/NNG;늘/VV,12,5,17,1.5648724185653602,Hawkish
결실/NNG,20,5,25,2.608120697608934,Hawkish
소비자/NNG;물가/NNG;상승률/NNG;내리/VV,19,4,23,3.0971433284106094,Hawkish
고용/NNG;증가/NNG,52,17,69,1.9944452393480083,Hawkish
성과지표/NNG,18,4,22,2.9341357848100507,Hawkish
불린/VV,20,5,25,2.608120697608934,Hawkish
봉사/NNG,44,13,57,2.206871359515252,Hawkish
제로/NNG,89,31,120,1.87195759747738,Hawkish
이해관계자/NNG,140,8,148,11.410528052039089,Hawkish
비용/NNG;부담/NNG;크/VV,13,5,18,1.6952784534458072,Hawkish
예대/NNG,13,6,19,1.4127320445381726,Hawkish
인허가/NNG,428,189,617,1.476555103937333,Hawkish
저평가/NNG;해소/NNG,33,10,43,2.1516995755273705,Hawkish
대회/NNG,152,41,193,2.41728259778389,Hawkish
고양/NNG,21,10,31,1.3692633662446905,Hawkish
순수수료/NNG,25,1,26,16.300754360055837,Hawkish
전단/NNG,16,3,19,3.477494263478579,Hawkish
신용보증/NNG,150,54,204,1.8111949288950928,Hawkish
품격/NNG,22,4,26,3.5861659592122845,Hawkish
타진/NNG,32,15,47,1.3909977053914315,Hawkish
쏠립니다/VV,19,2,21,6.194286656821219,Hawkish
위대/NNG,15,7,22,1.3972075165762146,Hawkish
식량/NNG,22,8,30,1.7930829796061425,Hawkish
전략산업/NNG,103,21,124,3.198052760163336,Hawkish
거점/NNG,162,23,185,4.592560358833123,Hawkish
중문/NNG,15,2,17,4.890226308016751,Hawkish
탈동조화/NNG,96,23,119,2.7215172496788878,Hawkish
테스트베드/NNG,12,6,18,1.3040603488044669,Hawkish
이포/NNG,14,3,17,3.042807480543756,Hawkish
은행업/NNG,172,62,234,1.8088579031803895,Hawkish
가격/NNG;고공행진/NNG,29,12,41,1.575739588138731,Hawkish
전세수급지수/NNG,30,7,37,2.794415033152429,Hawkish
밀착/NNG,48,11,59,2.8452225792097456,Hawkish
사업영역/NNG,67,18,85,2.4270012047194247,Hawkish
차종/NNG,93,18,111,3.368822567744873,Hawkish
최저임금제/NNG,20,5,25,2.608120697608934,Hawkish
붙였/VV,22,8,30,1.7930829796061425,Hawkish
냉전/NNG,17,1,18,11.08451296483797,Hawkish
공간/NNG,424,160,584,1.7278799621659189,Hawkish
보입니다/VV,195,88,283,1.4448395910049492,Hawkish
차감/NNG,111,52,163,1.39183364151246,Hawkish
깡통/NNG,24,8,32,1.9560905232067003,Hawkish
전망/NNG;영향/NNG;하락/NNG,16,1,17,10.432482790435737,Hawkish
신약/NNG,105,50,155,1.3692633662446902,Hawkish
협회/NNG,341,154,495,1.4437811004620884,Hawkish
대출/NNG;증가/NNG,44,12,56,2.3907773061415227,Hawkish
대결/NNG,26,9,35,1.8836427260508968,Hawkish
통계국/NNG,34,16,50,1.3855641206047462,Hawkish
경제/NNG;양호/NNG,30,9,39,2.1734339146741117,Hawkish
세제개편안/NNG,35,11,46,2.0746414640071067,Hawkish
권익/NNG,22,7,29,2.049237690978448,Hawkish
통화정책/NNG;방향/NNG;불확실성/NNG,24,1,25,15.648724185653604,Hawkish
권력/NNG,13,6,19,1.4127320445381726,Hawkish
자금력/NNG,46,20,66,1.499669401125137,Hawkish
낙수효과/NNG,57,18,75,2.064762218940406,Hawkish
예상/NNG;높/VA,163,45,208,2.3617981872792013,Hawkish
빚어지/VV,21,6,27,2.2821056104078177,Hawkish
수장/NNG,60,25,85,1.5648724185653602,Hawkish
낸다/VV,35,14,49,1.6300754360055838,Hawkish
감가상각/NNG,15,4,19,2.4451131540083755,Hawkish
개입/NNG,1183,474,1657,1.6273242538351105,Hawkish
야외/NNG,28,6,34,3.042807480543756,Hawkish
회견/NNG,19,8,27,1.548571664205305,Hawkish
pf/NNG;위험/NNG,18,7,25,1.6766490198914574,Hawkish
건드리/VV,16,4,20,2.608120697608934,Hawkish
인버스etf/NNG,23,10,33,1.499669401125137,Hawkish
분쟁/NNG,937,421,1358,1.451193048491432,Hawkish
살림/NNG,78,18,96,2.825464089076345,Hawkish
노동통계국/NNG,58,18,76,2.100986117518308,Hawkish
보조/NNG,126,53,179,1.550109471220404,Hawkish
주채/NNG,27,4,31,4.401203677215076,Hawkish
도시형생활주택/NNG,57,10,67,3.716571994092731,Hawkish
받아들여졌/VV,13,5,18,1.6952784534458072,Hawkish
기대/NNG;줄/VV,24,10,34,1.5648724185653602,Hawkish
앤드/NNG,36,16,52,1.467067892405025,Hawkish
동종/NNG,21,10,31,1.3692633662446905,Hawkish
중처/NNG,29,11,40,1.7189886416058884,Hawkish
총동원/NNG,25,2,27,8.150377180027919,Hawkish
백지/NNG,13,5,18,1.6952784534458072,Hawkish
소비/NNG;여력/NNG;약화/NNG,13,4,17,2.119098066807259,Hawkish
실은/MAG,14,6,20,1.521403740271878,Hawkish
클러스터/NNG,81,29,110,1.8211877285027904,Hawkish
회의실/NNG,35,10,45,2.282105610407817,Hawkish
물가/NNG;금리/NNG;인하/NNG,21,4,25,3.4231584156117263,Hawkish
위기관리/NNG,45,11,56,2.6673961680091374,Hawkish
부동산/NNG;악화/NNG,20,2,22,6.520301744022335,Hawkish
파괴/NNG,37,6,43,4.020852742147107,Hawkish
길이/NNG,12,6,18,1.3040603488044669,Hawkish
금리/NNG;인하/NNG;예상/NNG;늦/VA,43,11,54,2.548845227208731,Hawkish
유통/NNG,784,389,1173,1.3141173694893344,Hawkish
원은/NNG,21,9,30,1.5214037402718783,Hawkish
중형주/NNG,42,15,57,1.8256844883262535,Hawkish
벌어들이/VV,18,9,27,1.3040603488044669,Hawkish
인플레이션/NNG;오르/VV,26,8,34,2.119098066807259,Hawkish
이은/VV,112,47,159,1.5537740326180882,Hawkish
투자자산/NNG,111,32,143,2.261729667457748,Hawkish
벤처캐피털/NNG,44,11,55,2.6081206976089337,Hawkish
운영비/NNG,19,7,26,1.7697961876632051,Hawkish
권역/NNG,251,120,371,1.363829781458005,Hawkish
신제품/NNG,175,32,207,3.5657900162622145,Hawkish
업인/NNG,31,1,32,20.21293540646924,Hawkish
적수/NNG,34,15,49,1.4779350619783955,Hawkish
상대/NNG,407,116,523,2.287726560187147,Hawkish
제일/MAG,181,85,266,1.3884407243153445,Hawkish
소감/NNG,25,4,29,4.075188590013959,Hawkish
다중채무/NNG,54,9,63,3.9121810464134006,Hawkish
끝낸/VV,12,6,18,1.3040603488044669,Hawkish
무수익여신/NNG,62,8,70,5.05323385161731,Hawkish
치사/NNG,14,5,19,1.8256844883262535,Hawkish
일가/NNG,43,14,57,2.002664107092574,Hawkish
찰자/NNG,25,6,31,2.71679239334264,Hawkish
개미/NNG,353,169,522,1.361932849491056,Hawkish
공고문/NNG,22,2,24,7.172331918424569,Hawkish
보정/NNG,22,9,31,1.5938515374276818,Hawkish
연료/NNG,113,51,164,1.4446943079892625,Hawkish
합친/VV,45,21,66,1.3972075165762148,Hawkish
수요/NNG;증가/NNG,208,86,294,1.5770032125077276,Hawkish
호의/NNG,16,4,20,2.608120697608934,Hawkish
수익성/NNG;낮/VA,29,13,42,1.454528850589598,Hawkish
노트/NNG,45,22,67,1.333698084004569,Hawkish
지급액/NNG,33,13,46,1.6551535196364389,Hawkish
매출/NNG;성장/NNG,116,36,152,2.100986117518308,Hawkish
죄송/NNG,12,5,17,1.5648724185653602,Hawkish
용적률인센티브/NNG,19,6,25,2.0647622189404062,Hawkish
매출/NNG;증가/NNG,151,45,196,2.1879234741052724,Hawkish
건축/NNG,260,107,367,1.5843723863979506,Hawkish
난이도/NNG,16,6,22,1.7387471317392895,Hawkish
중국a주/NNG,16,5,21,2.0864965580871475,Hawkish
녹록/NNG;않/VX,111,46,157,1.573377159970607,Hawkish
가성비/NNG,93,24,117,2.526616925808655,Hawkish
메타버스/NNG,15,2,17,4.890226308016751,Hawkish
투자심리/NNG;호조/NNG,15,2,17,4.890226308016751,Hawkish
추정손실/NNG,98,19,117,3.3631030048115207,Hawkish
타사/NNG,43,11,54,2.548845227208731,Hawkish
중견/NNG,751,319,1070,1.5350302851914652,Hawkish
저가형/NNG,18,4,22,2.9341357848100507,Hawkish
숙제/NNG,64,25,89,1.6691972464697178,Hawkish
페이지/NNG,130,58,188,1.461446942625696,Hawkish
유통구조/NNG,38,13,51,1.9059343559449904,Hawkish
자금/NNG;조달/NNG;부담/NNG;완화/NNG,17,2,19,5.542256482418985,Hawkish
집약/NNG,20,6,26,2.173433914674112,Hawkish
콜옵션/NNG,148,68,216,1.4191244972283903,Hawkish
줄다리기/NNG,18,9,27,1.3040603488044669,Hawkish
부추기/VV,217,100,317,1.4149054784528463,Hawkish
일반공모/NNG,27,7,34,2.514973529837186,Hawkish
뼈아프/VA,14,5,19,1.8256844883262535,Hawkish
사철/NNG,15,7,22,1.3972075165762146,Hawkish
합당/NNG,22,8,30,1.7930829796061425,Hawkish
잇따르/VV,437,202,639,1.4105801297711684,Hawkish
민원/NNG,745,81,826,5.997067653452642,Hawkish
실적발표/NNG,799,146,945,3.5683021188177024,Hawkish
기술개발/NNG,88,29,117,1.9785743223240189,Hawkish
적립식/NNG,114,37,151,2.008957834644719,Hawkish
가이던스/NNG,194,92,286,1.374933193848188,Hawkish
중개/NNG,228,74,302,2.008957834644719,Hawkish
강수량/NNG,72,12,84,3.912181046413401,Hawkish
경영/NNG;부담/NNG,31,2,33,10.10646770323462,Hawkish
소프트/NNG,36,4,40,5.868271569620101,Hawkish
독서실/NNG,25,5,30,3.260150872011168,Hawkish
차선/NNG,38,5,43,4.955429325456975,Hawkish
ecb/NNG;금리/NNG;인상/NNG,20,7,27,1.8629433554349528,Hawkish
리바운드/NNG,43,1,44,28.03729749929604,Hawkish
성과급/NNG,60,19,79,2.0590426560070534,Hawkish
경기/NNG;전망/NNG;지수/NNG;상승/NNG,18,1,19,11.736543139240204,Hawkish
기업지배구조/NNG,25,10,35,1.6300754360055838,Hawkish
치르/VV,46,22,68,1.36333581920467,Hawkish
대외변수/NNG,68,26,94,1.7053096868981492,Hawkish
벌어진/VV,81,40,121,1.3203611031645228,Hawkish
신작/NNG,20,3,23,4.346867829348224,Hawkish
수수료이익/NNG,102,9,111,7.389675309891979,Hawkish
경제/NNG;시스템/NNG;위험/NNG,26,2,28,8.476392267229036,Hawkish
사태/NNG,1058,512,1570,1.3473592275733657,Hawkish
단골/NNG,23,4,27,3.749173502812843,Hawkish
반독점/NNG,20,2,22,6.520301744022335,Hawkish
수치인/NNG,29,6,35,3.151479176277462,Hawkish
퇴색/NNG,19,6,25,2.0647622189404062,Hawkish
바라보/VV,129,58,187,1.4502050430670368,Hawkish
블루칩/NNG,90,43,133,1.3647143185163029,Hawkish
전망/NNG;늦/VV,20,4,24,3.260150872011168,Hawkish
업로드/NNG,15,4,19,2.4451131540083755,Hawkish
스튜디오/NNG,44,16,60,1.7930829796061425,Hawkish
