neg_dic,Up,Down,total,Polarity Score,Polarity
대형화/NNG,11,21,32,0.3415396151630747,Dovish
표표/NNG,7,13,20,0.3510931708319719,Dovish
인하/NNG;그치/VV,11,15,26,0.4781554612283045,Dovish
구조화채권/NNG,4,20,24,0.1304060348804467,Dovish
공신력/NNG,10,12,22,0.5433584786685279,Dovish
유의/NNG,494,663,1157,0.4858264044565661,Dovish
느리/VA,159,140,299,0.7405199837853939,Dovish
이자보상배율/NNG,86,142,228,0.3948915140745921,Dovish
인용/NNG,136,117,253,0.7579154163991774,Dovish
수출/NNG;경제/NNG;성장/NNG,7,15,22,0.3042807480543756,Dovish
모멘텀/NNG,771,728,1499,0.6905429456924753,Dovish
전망/NNG;줄/VV,25,36,61,0.4527987322237732,Dovish
마티스/NNG,3,18,21,0.1086716957337055,Dovish
시군/NNG,16,17,33,0.6136754582609257,Dovish
청약기간/NNG,5,56,61,0.0582169798573422,Dovish
상하위/NNG,10,30,40,0.2173433914674111,Dovish
대전환/NNG,6,16,22,0.2445113154008375,Dovish
북문/NNG,9,16,25,0.3667669731012563,Dovish
금리/NNG;하락/NNG;제한/NNG,12,20,32,0.39121810464134,Dovish
동의서/NNG,7,24,31,0.1901754675339847,Dovish
뺏기/VV,5,16,21,0.2037594295006979,Dovish
판결/NNG,48,43,91,0.727847636542028,Dovish
글로벌/NNG;금융시장/NNG;안정/NNG,6,11,17,0.3556528224012182,Dovish
절대/MAG,76,115,191,0.4309068978658238,Dovish
취업자/NNG;증가/NNG,12,11,23,0.7113056448024364,Dovish
잠재/NNG;성장/NNG,21,39,60,0.3510931708319719,Dovish
기계학습/NNG,3,17,20,0.1150641484239235,Dovish
훼손/NNG,110,111,221,0.6461560286868981,Dovish
시범/NNG,32,35,67,0.596141873739185,Dovish
비용/NNG;낮/VA,9,11,20,0.5334792336018274,Dovish
안전자산/NNG;수요/NNG;늘/VV,3,18,21,0.1086716957337055,Dovish
도산/NNG,35,37,72,0.6167853001102209,Dovish
요법/NNG,10,10,20,0.6520301744022335,Dovish
매파/NNG;통화/NNG;긴축/NNG;선호/NNG,68,64,132,0.6927820603023731,Dovish
성장/NNG;부진/NNG,8,9,17,0.5795823772464298,Dovish
곱해/VV,8,24,32,0.2173433914674112,Dovish
빨간불이/VA,22,21,43,0.6830792303261494,Dovish
비용/NNG;감소/NNG,11,10,21,0.7172331918424568,Dovish
민관/NNG,49,48,97,0.6656141363689467,Dovish
고로/NNG,3,20,23,0.097804526160335,Dovish
오성/NNG,20,25,45,0.5216241395217868,Dovish
대출/NNG;받/VV;어렵/VA,16,21,37,0.4967848947826541,Dovish
경영혁신/NNG,15,14,29,0.6986037582881073,Dovish
성장/NNG;경로/NNG;하방/NNG;위험/NNG,7,17,24,0.2684830129891549,Dovish
돌아올/VV,18,27,45,0.4346867829348222,Dovish
국민계정/NNG,13,18,31,0.4709106815127242,Dovish
영일/NNG,12,11,23,0.7113056448024364,Dovish
배제/NNG,586,515,1101,0.7419217130091433,Dovish
하위등급/NNG,85,267,352,0.2075751491542691,Dovish
비둘기/NNG,273,260,533,0.6846316831223451,Dovish
전략회의/NNG,4,46,50,0.0566982760349768,Dovish
왕복/NNG,12,17,29,0.4602565936956942,Dovish
채권/NNG;가격/NNG;오르/VV,12,24,36,0.3260150872011167,Dovish
옮겼/VV,12,12,24,0.6520301744022334,Dovish
금리/NNG;인상/NNG;멈추/VV,6,11,17,0.3556528224012182,Dovish
제1금융권/NNG,23,47,70,0.3190785959840717,Dovish
초저금리/NNG,57,75,132,0.4955429325456975,Dovish
다세대주택/NNG,34,36,70,0.6158062758243317,Dovish
경영계/NNG,11,16,27,0.4482707449015355,Dovish
기조연설/NNG,20,47,67,0.2774596486818015,Dovish
한산/NNG,20,22,42,0.5927547040020305,Dovish
휴가/NNG,32,44,76,0.4742037632016244,Dovish
저물가/NNG,40,189,229,0.1379958041062928,Dovish
지수옵션/NNG,5,13,18,0.2507808363085513,Dovish
수그러들/VV,11,10,21,0.7172331918424568,Dovish
인플레이션/NNG;전망/NNG;상향/NNG,13,13,26,0.6520301744022335,Dovish
종합지원/NNG,22,31,53,0.4627310915112624,Dovish
세이브/NNG,10,10,20,0.6520301744022335,Dovish
다가서/VV,14,19,33,0.4804432864016457,Dovish
담합/NNG,19,32,51,0.3871429160513261,Dovish
장단기/NNG,152,227,379,0.4366017026834339,Dovish
이동성/NNG,11,19,30,0.3774911536012931,Dovish
전구간/NNG,30,52,82,0.376171254462827,Dovish
피력/NNG,83,143,226,0.3784510802474501,Dovish
구조적/VAX,379,378,757,0.6537551219535622,Dovish
연구/NNG,395,416,811,0.6191151896367361,Dovish
사록/NNG,70,79,149,0.5777482557994474,Dovish
환경/NNG;안정/NNG,12,18,30,0.4346867829348222,Dovish
순유/NNG,14,27,41,0.3380897200604173,Dovish
미/NNG;금리/NNG;인상/NNG,13,16,29,0.5297745167018147,Dovish
고용/NNG;늘/VV,10,10,20,0.6520301744022335,Dovish
석화/NNG,9,10,19,0.5868271569620102,Dovish
액침/NNG,8,11,19,0.4742037632016244,Dovish
만일/MAG,83,77,160,0.7028377204595503,Dovish
보험기금/NNG,51,66,117,0.5038414984017258,Dovish
아이/NNG,256,353,609,0.4728604097647926,Dovish
투자의견없음/NNG,1,16,17,0.0407518859001395,Dovish
위험/NNG;증대/NNG,7,24,31,0.1901754675339847,Dovish
나눠서/VV,15,26,41,0.376171254462827,Dovish
차익매물/NNG,21,21,42,0.6520301744022335,Dovish
국제/NNG;유가/NNG;안정/NNG,17,16,33,0.6927820603023731,Dovish
출석/NNG,36,80,116,0.2934135784810051,Dovish
일체/NNG,6,11,17,0.3556528224012182,Dovish
승환/NNG,11,16,27,0.4482707449015355,Dovish
실업급여/NNG,4,17,21,0.1534188645652314,Dovish
상거래/NNG,8,17,25,0.3068377291304628,Dovish
수지/NNG;흑자/NNG;확대/NNG,4,14,18,0.1862943355434952,Dovish
주점/NNG,8,15,23,0.3477494263478579,Dovish
가격산정/NNG,2,24,26,0.0543358478668528,Dovish
수축국면/NNG,15,30,45,0.3260150872011167,Dovish
일드커브/NNG,300,380,680,0.5147606640017632,Dovish
일률적/VAX,24,22,46,0.7113056448024364,Dovish
매각액/NNG,11,11,22,0.6520301744022334,Dovish
스케일/NNG,69,78,147,0.576795923509668,Dovish
상저하고/NNG,24,31,55,0.5047975543759227,Dovish
잠정치/NNG,118,152,270,0.506181319601734,Dovish
연락/NNG,36,34,70,0.6903848905435414,Dovish
통안채/NNG,2493,2486,4979,0.6538661402995849,Dovish
연방/NNG,91,159,250,0.373174502330838,Dovish
교직원/NNG,20,28,48,0.4657358388587382,Dovish
의존/NNG,254,222,476,0.7460165058476005,Dovish
공조/NNG,157,187,344,0.5474264031077575,Dovish
투자/NNG;비중/NNG;확대/NNG,7,13,20,0.3510931708319719,Dovish
내실화/NNG,11,14,25,0.512309422744612,Dovish
잠시/NNG,9,8,17,0.7335339462025127,Dovish
간부/NNG,12,11,23,0.7113056448024364,Dovish
수출입은행/NNG,32,52,84,0.4012493380936822,Dovish
정확/NNG,651,744,1395,0.5705264026019543,Dovish
장단기스프레드/NNG,257,366,623,0.4578463246485628,Dovish
설비/NNG;투자/NNG;부진/NNG,16,19,35,0.5490780416018809,Dovish
출생/NNG,180,159,339,0.7381473672478115,Dovish
관세율/NNG,30,29,59,0.6745139735195519,Dovish
넓힌/VV,5,14,19,0.2328679194293691,Dovish
미/NNG;국채/NNG;금리/NNG;상승/NNG,27,34,61,0.517788667907656,Dovish
산업/NNG;호조/NNG,5,13,18,0.2507808363085513,Dovish
극도/NNG,27,51,78,0.3451924452717707,Dovish
개시/NNG,217,242,459,0.5846716853110937,Dovish
세로/NNG,71,82,153,0.5645627119824217,Dovish
사발/NNG,9,9,18,0.6520301744022334,Dovish
유언장/NNG,6,11,17,0.3556528224012182,Dovish
대손충당금/NNG;증가/NNG,3,15,18,0.1304060348804467,Dovish
주택/NNG;감소/NNG,10,9,19,0.7244779715580372,Dovish
소액/NNG,252,259,511,0.6344077372562271,Dovish
현금결제/NNG,8,44,52,0.1185509408004061,Dovish
프로그램매매/NNG,9,11,20,0.5334792336018274,Dovish
무역금융/NNG,9,24,33,0.2445113154008375,Dovish
상당히/MAG,478,492,970,0.6334764702525765,Dovish
a-등급/NNG,14,20,34,0.4564211220815634,Dovish
나타난다/VV,55,55,110,0.6520301744022335,Dovish
종금/NNG,253,326,579,0.5060234175575615,Dovish
소비/NNG;개선/NNG,12,13,25,0.6018740071405232,Dovish
소득분배/NNG,9,10,19,0.5868271569620102,Dovish
gni/NNG,4,15,19,0.1738747131739289,Dovish
금융제도/NNG,9,11,20,0.5334792336018274,Dovish
cds/NNG,655,943,1598,0.4528947658891442,Dovish
부실자산/NNG,86,75,161,0.7476612666478945,Dovish
강보합/NNG,233,258,491,0.5888489559524047,Dovish
주식수/NNG,24,30,54,0.5216241395217868,Dovish
가계/NNG;대출/NNG;증가/NNG;둔화/NNG,9,17,26,0.3451924452717707,Dovish
중간재/NNG,53,52,105,0.6645692162176611,Dovish
성장/NNG;추세/NNG,9,18,27,0.3260150872011167,Dovish
코루나/NNG,8,22,30,0.2371018816008122,Dovish
소유권/NNG,32,75,107,0.2781995410782863,Dovish
모빌/NNG,9,8,17,0.7335339462025127,Dovish
보령/NNG,8,34,42,0.1534188645652314,Dovish
대위변제/NNG,38,42,80,0.5899320625544018,Dovish
결집/NNG,27,26,53,0.6771082580330886,Dovish
불안/NNG;지정학/NNG;위험/NNG,7,11,18,0.4149282928014213,Dovish
사유/NNG,134,132,266,0.661909419468934,Dovish
패닉/NNG,21,30,51,0.4564211220815634,Dovish
낮/VA;추세/NNG,11,14,25,0.512309422744612,Dovish
사이버/NNG,27,32,59,0.5501504596518845,Dovish
드레드레/MAG,11,11,22,0.6520301744022334,Dovish
비관론자/NNG,8,10,18,0.5216241395217869,Dovish
상승률/NNG;하락/NNG,10,12,22,0.5433584786685279,Dovish
구간별/NNG,68,59,127,0.7514924043957946,Dovish
관차/NNG,7,15,22,0.3042807480543756,Dovish
정금/NNG,17,25,42,0.4433805185935188,Dovish
금리/NNG;하단/NNG,34,44,78,0.5038414984017259,Dovish
대행/NNG,69,105,174,0.4284769717500391,Dovish
주식형/NNG,309,320,629,0.6296166371571568,Dovish
골라/VV,17,17,34,0.6520301744022335,Dovish
쏠쏠/NNG,10,15,25,0.4346867829348223,Dovish
투어/NNG,28,26,54,0.7021863416639438,Dovish
더해져/VV,59,55,114,0.6994505507223959,Dovish
부과/NNG,465,418,883,0.7253445720024846,Dovish
아버지/NNG,7,24,31,0.1901754675339847,Dovish
스톡옵션/NNG,4,17,21,0.1534188645652314,Dovish
좌측/NNG,6,21,27,0.1862943355434952,Dovish
채권최고액/NNG,9,9,18,0.6520301744022334,Dovish
네고/NNG,26,25,51,0.6781113813783228,Dovish
내역/NNG,182,158,340,0.7510727325392816,Dovish
신용등급/NNG;부정적/VAX;안정/NNG,8,11,19,0.4742037632016244,Dovish
수탁자/NNG,21,35,56,0.3912181046413401,Dovish
인구구조/NNG,71,139,210,0.333051384047184,Dovish
아르바이트/NNG,21,23,44,0.5953318983672568,Dovish
시키/VV,10,9,19,0.7244779715580372,Dovish
부실여신/NNG,16,26,42,0.4012493380936822,Dovish
금융중개기능/NNG,8,24,32,0.2173433914674112,Dovish
타격/NNG;줄/VV,10,9,19,0.7244779715580372,Dovish
행정지도/NNG,25,22,47,0.740943380002538,Dovish
단기/NNG;금리/NNG;안정/NNG,5,20,25,0.1630075436005583,Dovish
모은/VV,58,77,135,0.4911396118873966,Dovish
세이빙/NNG,1,19,20,0.0343173776001175,Dovish
중도파/NNG,8,10,18,0.5216241395217869,Dovish
채권/NNG;금리/NNG;상승/NNG;압력/NNG,5,13,18,0.2507808363085513,Dovish
장기차입금/NNG,10,10,20,0.6520301744022335,Dovish
봉착/NNG,21,22,43,0.622392439202132,Dovish
영원히/MAG,9,9,18,0.6520301744022334,Dovish
과도기/NNG,6,14,20,0.2794415033152429,Dovish
등록증/NNG,3,20,23,0.097804526160335,Dovish
과매수/NNG,14,16,30,0.5705264026019543,Dovish
본관/NNG,24,27,51,0.5795823772464297,Dovish
부패/NNG,6,14,20,0.2794415033152429,Dovish
수용성/NNG,7,89,96,0.0512832721439958,Dovish
지수/NNG;견인/NNG,9,9,18,0.6520301744022334,Dovish
가계/NNG;대출/NNG;억제/NNG,20,22,42,0.5927547040020305,Dovish
기업/NNG;성장/NNG,34,32,66,0.6927820603023731,Dovish
연명/NNG,22,20,42,0.7172331918424568,Dovish
발행회사/NNG,9,21,30,0.2794415033152429,Dovish
신용/NNG;불안/NNG,5,14,19,0.2328679194293691,Dovish
무조건/NNG,10,14,24,0.4657358388587382,Dovish
모형/NNG,226,221,447,0.6667819883027364,Dovish
친숙/NNG,10,11,21,0.5927547040020305,Dovish
국채/NNG;발행/NNG;증가/NNG,8,12,20,0.4346867829348224,Dovish
문제점/NNG,63,58,121,0.7082396721955295,Dovish
역내/NNG,44,40,84,0.7172331918424568,Dovish
저축/NNG,494,457,951,0.7048203635770315,Dovish
지폐/NNG,14,46,60,0.1984439661224189,Dovish
국고채/NNG;금리/NNG;상승/NNG,20,43,63,0.3032698485591784,Dovish
은도/NNG,11,13,24,0.551717839878813,Dovish
차입/NNG;부담/NNG,10,16,26,0.4075188590013959,Dovish
구포/NNG,6,11,17,0.3556528224012182,Dovish
aaa등급/NNG,36,51,87,0.4602565936956942,Dovish
irs/NNG,965,1367,2332,0.4602846512788262,Dovish
고령화/NNG,222,239,461,0.6056514590681834,Dovish
월별/NNG,131,132,263,0.6470905518688832,Dovish
기념사/NNG,11,35,46,0.2049237690978448,Dovish
마찰/NNG,37,39,76,0.6185927295610933,Dovish
금융기관/NNG,904,1070,1974,0.5508740912706721,Dovish
니케/NNG,19,26,45,0.4764835889862476,Dovish
환급금/NNG,50,53,103,0.6151228060398429,Dovish
내수/NNG;성장/NNG,21,23,44,0.5953318983672568,Dovish
내줄/VV,17,27,44,0.410537517216221,Dovish
세션/NNG,85,159,244,0.3485695900892443,Dovish
살림살이/NNG,20,22,42,0.5927547040020305,Dovish
고액권/NNG,1,21,22,0.0310490559239158,Dovish
대항력/NNG,17,15,32,0.7389675309891979,Dovish
등판/NNG,11,11,22,0.6520301744022334,Dovish
구멍/NNG,9,12,21,0.4890226308016751,Dovish
적어도/MAG,164,148,312,0.7225199229862587,Dovish
더뎌지/VA,12,30,42,0.2608120697608934,Dovish
임금/NNG;상승률/NNG;둔화/NNG,6,11,17,0.3556528224012182,Dovish
향배/NNG,25,22,47,0.740943380002538,Dovish
그리스사태/NNG,4,48,52,0.0543358478668528,Dovish
원자재/NNG;가격/NNG;하락/NNG,12,11,23,0.7113056448024364,Dovish
글로벌/NNG,5766,5124,10890,0.7337248215463074,Dovish
고통/NNG,153,147,300,0.6786436509084471,Dovish
기울기/NNG,20,18,38,0.7244779715580372,Dovish
융기/NNG,6,12,18,0.3260150872011167,Dovish
역점/NNG,20,21,41,0.6209811184783176,Dovish
목표제/NNG,8,20,28,0.2608120697608934,Dovish
탄도미사일/NNG,13,16,29,0.5297745167018147,Dovish
원스톱/NNG,57,52,109,0.7147253834793713,Dovish
시위/NNG,14,39,53,0.2340621138879812,Dovish
상하/NNG,18,48,66,0.2445113154008375,Dovish
프랑스국채/NNG,6,24,30,0.1630075436005583,Dovish
실력/NNG,10,12,22,0.5433584786685279,Dovish
국제/NNG;금융시장/NNG;변동성/NNG;확대/NNG,4,15,19,0.1738747131739289,Dovish
발명/NNG,7,17,24,0.2684830129891549,Dovish
불안/NNG;위험/NNG,9,10,19,0.5868271569620102,Dovish
세율/NNG,143,131,274,0.7117581293093084,Dovish
평가사/NNG,17,19,36,0.5833954192019984,Dovish
토론자/NNG,13,12,25,0.7063660222690863,Dovish
외화증권투자/NNG,3,52,55,0.0376171254462827,Dovish
이론/NNG,111,159,270,0.4551908764694837,Dovish
대중교통/NNG,22,36,58,0.3984628843569204,Dovish
모기지/NNG,398,385,783,0.6740467776937374,Dovish
총합/NNG,6,11,17,0.3556528224012182,Dovish
가계/NNG;부채/NNG;증가/NNG;확대/NNG,16,25,41,0.4172993116174294,Dovish
수소연료전지/NNG,9,9,18,0.6520301744022334,Dovish
발품/NNG,8,9,17,0.5795823772464298,Dovish
금리/NNG;변동/NNG;위험/NNG,10,31,41,0.2103323143233011,Dovish
통화정책/NNG;제약/NNG,9,9,18,0.6520301744022334,Dovish
회복/NNG;높/VA,7,13,20,0.3510931708319719,Dovish
강달러/NNG;압력/NNG,12,13,25,0.6018740071405232,Dovish
목록/NNG,16,28,44,0.3725886710869905,Dovish
국인/NNG,22,24,46,0.5976943265353807,Dovish
맞춰질/VV,6,17,23,0.2301282968478471,Dovish
외국인/NNG;자금/NNG;이탈/NNG,31,28,59,0.7218905502310442,Dovish
짓누르/VV,18,17,35,0.6903848905435414,Dovish
절박/NNG,9,8,17,0.7335339462025127,Dovish
정형/NNG,30,36,66,0.5433584786685278,Dovish
연말효과/NNG,20,36,56,0.3622389857790186,Dovish
고령/NNG,178,158,336,0.7345656395164403,Dovish
세이렌/NNG,1,24,25,0.0271679239334264,Dovish
차주/NNG;부담/NNG,10,10,20,0.6520301744022335,Dovish
경색/NNG,118,157,275,0.4900608954105959,Dovish
삼노/NNG,7,15,22,0.3042807480543756,Dovish
머지않/VA,17,26,43,0.4263274217245373,Dovish
기부채납/NNG,14,19,33,0.4804432864016457,Dovish
현물시장/NNG,29,53,82,0.3567712275031089,Dovish
발행물/NNG,59,110,169,0.3497252753611979,Dovish
평민/NNG,49,61,110,0.5237619433722859,Dovish
법정/NNG,114,127,241,0.5852869282035796,Dovish
진구/NNG,6,13,19,0.3009370035702616,Dovish
니스/NNG,22,23,45,0.623681036384745,Dovish
가닥/NNG,17,18,35,0.6158062758243317,Dovish
사퇴/NNG,9,11,20,0.5334792336018274,Dovish
가계/NNG;이자/NNG;부담/NNG;경감/NNG,15,20,35,0.4890226308016751,Dovish
루트/NNG,6,11,17,0.3556528224012182,Dovish
재대출/NNG,4,22,26,0.1185509408004061,Dovish
외부감사/NNG,7,18,25,0.253567290045313,Dovish
제3자/NNG,98,99,197,0.6454440110244332,Dovish
외수/NNG,3,17,20,0.1150641484239235,Dovish
매매동향/NNG,40,47,87,0.554919297363603,Dovish
명명/NNG,9,18,27,0.3260150872011167,Dovish
그렉시트/NNG,4,21,25,0.1241962236956635,Dovish
공정가격/NNG,18,44,62,0.2667396168009137,Dovish
변동금리부/NNG,9,21,30,0.2794415033152429,Dovish
동네/NNG,39,35,74,0.7265479086196317,Dovish
덧붙여/VV,8,14,22,0.3725886710869905,Dovish
고용증감/NNG,42,53,95,0.5167031570734681,Dovish
아제/NNG,1,21,22,0.0310490559239158,Dovish
경제/NNG;성장률/NNG;하락/NNG,9,10,19,0.5868271569620102,Dovish
주택/NNG;공급/NNG;확대/NNG,25,28,53,0.5821697985734228,Dovish
동일/NNG,624,542,1166,0.750676805953863,Dovish
화곡/NNG,9,11,20,0.5334792336018274,Dovish
전영역/NNG,10,11,21,0.5927547040020305,Dovish
들어와서/VV,6,16,22,0.2445113154008375,Dovish
손잡/VV,26,24,50,0.7063660222690863,Dovish
인생/NNG,22,29,51,0.4946435805810047,Dovish
우양/NNG,7,15,22,0.3042807480543756,Dovish
비시/NNG,4,13,17,0.2006246690468411,Dovish
명단/NNG,18,18,36,0.6520301744022334,Dovish
누그러질/VV,9,8,17,0.7335339462025127,Dovish
존재/NNG,474,424,898,0.7289205251572138,Dovish
소셜/NNG,16,15,31,0.6954988526957158,Dovish
유동화/NNG,368,364,732,0.6591953411539064,Dovish
묶여/VV,52,48,100,0.7063660222690863,Dovish
양방향/NNG;위험/NNG,1,22,23,0.0296377352001015,Dovish
형사/NNG,28,26,54,0.7021863416639438,Dovish
응모/NNG,30,29,59,0.6745139735195519,Dovish
시장구조/NNG,9,13,22,0.4514055053553924,Dovish
안정성/NNG;개선/NNG,4,28,32,0.0931471677717476,Dovish
찬반/NNG,17,16,33,0.6927820603023731,Dovish
악용/NNG,8,13,21,0.4012493380936822,Dovish
대출/NNG;금리/NNG;상승/NNG,23,26,49,0.5767959235096681,Dovish
소외주/NNG,8,11,19,0.4742037632016244,Dovish
팩트/NNG,15,13,28,0.752342508925654,Dovish
서로/MAG,113,98,211,0.7518307113005346,Dovish
대출심사/NNG,57,57,114,0.6520301744022334,Dovish
약식/NNG,26,32,58,0.5297745167018147,Dovish
채권지수/NNG,138,208,346,0.432596942632251,Dovish
정당/NNG,171,193,364,0.5777054913097509,Dovish
cp/NNG,495,535,1030,0.6032802548207581,Dovish
국민주택/NNG,16,28,44,0.3725886710869905,Dovish
명시적/VAX,18,16,34,0.7335339462025127,Dovish
한식/NNG,9,17,26,0.3451924452717707,Dovish
조작/NNG,40,42,82,0.6209811184783176,Dovish
택할/VV,9,11,20,0.5334792336018274,Dovish
신청액/NNG,9,23,32,0.2551422421573957,Dovish
금정/NNG,6,12,18,0.3260150872011167,Dovish
은행/NNG;부담/NNG,9,8,17,0.7335339462025127,Dovish
컨퍼런스/NNG,144,237,381,0.3961702325481925,Dovish
수출/NNG;경쟁력/NNG;강화/NNG,9,23,32,0.2551422421573957,Dovish
